timestamp,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count
1703602800,Sheffield United,Luton Town,2,3
1703611800,Burnley,Liverpool,0,2
1703620800,Manchester United,Aston Villa,3,2
1703705400,Brentford,Wolverhampton Wanderers,1,4
1703705400,Chelsea,Crystal Palace,2,1
1703708100,Everton,Manchester City,1,3
1703791800,Brighton & Hove Albion,Tottenham Hotspur,4,2
1703794500,Arsenal,West Ham United,0,2
1703939400,Luton Town,Chelsea,2,3
1703948400,Aston Villa,Burnley,3,2
1703948400,Crystal Palace,Brentford,3,1
1703948400,Manchester City,Sheffield United,2,0
1703948400,Wolverhampton Wanderers,Everton,3,0
1703957400,Nottingham Forest,Manchester United,2,1
1704031200,Fulham,Arsenal,2,1
1704031200,Tottenham Hotspur,AFC Bournemouth,3,1
1704139200,Liverpool,Newcastle United,4,2
1704223800,West Ham United,Brighton & Hove Albion,0,0
1705088700,Burnley,Luton Town,1,1
1705149000,Chelsea,Fulham,1,0
1705167000,Newcastle United,Manchester City,2,3
1705240800,Everton,Aston Villa,0,0
1705249800,Manchester United,Tottenham Hotspur,2,2
1705753800,Arsenal,Crystal Palace,5,0
1705771800,Brentford,Nottingham Forest,3,2
1705845600,Sheffield United,West Ham United,2,2
1705854600,AFC Bournemouth,Liverpool,0,4
1705952700,Brighton & Hove Albion,Wolverhampton Wanderers,0,0
1706643000,Nottingham Forest,Arsenal,1,2
1706643900,Fulham,Everton,0,0
1706643900,Luton Town,Brighton & Hove Albion,4,0
1706644800,Crystal Palace,Sheffield United,3,2
1706645700,Aston Villa,Newcastle United,1,3
1706729400,Tottenham Hotspur,Brentford,3,2
1706729400,Manchester City,Burnley,3,1
1706732100,Liverpool,Chelsea,4,1
1706815800,West Ham United,AFC Bournemouth,1,1
1706818500,Wolverhampton Wanderers,Manchester United,3,4
1706963400,Everton,Tottenham Hotspur,2,2
1706972400,Brighton & Hove Albion,Crystal Palace,4,1
1706972400,Burnley,Fulham,2,2
1706972400,Newcastle United,Luton Town,4,4
1706981400,Sheffield United,Aston Villa,0,5
1707055200,AFC Bournemouth,Nottingham Forest,1,1
1707055200,Chelsea,Wolverhampton Wanderers,2,4
1707055200,Manchester United,West Ham United,3,0
1707064200,Arsenal,Liverpool,3,1
1707163200,Brentford,Manchester City,1,3
1707568200,Manchester City,Everton,2,0
1707577200,Fulham,AFC Bournemouth,3,1
1707577200,Liverpool,Burnley,3,1
1707577200,Luton Town,Sheffield United,1,3
1707577200,Tottenham Hotspur,Brighton & Hove Albion,2,1
1707577200,Wolverhampton Wanderers,Brentford,0,2
1707586200,Nottingham Forest,Newcastle United,2,3
1707660000,West Ham United,Arsenal,0,6
1707669000,Aston Villa,Manchester United,1,2
1707768000,Crystal Palace,Chelsea,1,3
1708173000,Brentford,Liverpool,1,4
1708182000,Burnley,Arsenal,0,5
1708182000,Fulham,Aston Villa,1,2
1708182000,Newcastle United,AFC Bournemouth,2,2
1708182000,Nottingham Forest,West Ham United,2,0
1708182000,Tottenham Hotspur,Wolverhampton Wanderers,1,2
1708191000,Manchester City,Chelsea,1,1
1708264800,Sheffield United,Brighton & Hove Albion,0,5
1708273800,Luton Town,Manchester United,1,2
1708372800,Everton,Crystal Palace,1,1
1708457400,Manchester City,Brentford,1,0
1708543800,Liverpool,Luton Town,4,1
1708786800,Aston Villa,Nottingham Forest,4,2
1708786800,Brighton & Hove Albion,Everton,1,1
1708786800,Crystal Palace,Burnley,3,0
1708786800,Manchester United,Fulham,1,2
1708795800,AFC Bournemouth,Manchester City,0,1
1708804800,Arsenal,Newcastle United,4,1
1708867800,Wolverhampton Wanderers,Sheffield United,1,0
1708977600,West Ham United,Brentford,4,2
1709391600,Brentford,Chelsea,2,2
1709391600,Everton,West Ham United,1,3
1709391600,Fulham,Brighton & Hove Albion,3,0
1709391600,Newcastle United,Wolverhampton Wanderers,3,0
1709391600,Nottingham Forest,Liverpool,0,1
1709391600,Tottenham Hotspur,Crystal Palace,3,1
1709400600,Luton Town,Aston Villa,2,3
1709470800,Burnley,AFC Bournemouth,0,2
1709479800,Manchester City,Manchester United,3,1
1709582400,Sheffield United,Arsenal,0,6
1709987400,Manchester United,Everton,2,0
1709996400,AFC Bournemouth,Sheffield United,2,2
1709996400,Crystal Palace,Luton Town,1,1
1709996400,Wolverhampton Wanderers,Fulham,2,1
1710005400,Arsenal,Brentford,2,1
1710075600,Aston Villa,Tottenham Hotspur,0,4
1710079200,Brighton & Hove Albion,Nottingham Forest,1,0
1710079200,West Ham United,Burnley,2,2
1710085500,Liverpool,Manchester City,1,1
1710187200,Chelsea,Newcastle United,3,2
1710358200,AFC Bournemouth,Luton Town,4,3
1710601200,Burnley,Brentford,2,1
1710601200,Luton Town,Nottingham Forest,1,1
1710610200,Fulham,Tottenham Hotspur,3,0
1710684000,West Ham United,Aston Villa,1,1
1711801800,Newcastle United,West Ham United,4,3
1711810800,AFC Bournemouth,Everton,2,1
1711810800,Chelsea,Burnley,2,2
1711810800,Nottingham Forest,Crystal Palace,1,1
1711810800,Sheffield United,Fulham,3,3
1711810800,Tottenham Hotspur,Luton Town,2,1
1711819800,Aston Villa,Wolverhampton Wanderers,2,0
1711828800,Brentford,Manchester United,1,1
1711890000,Liverpool,Brighton & Hove Albion,2,1
1711899000,Manchester City,Arsenal,0,0
1712082600,Nottingham Forest,Fulham,3,1
1712082600,Newcastle United,Everton,1,1
1712083500,AFC Bournemouth,Crystal Palace,1,0
1712083500,Burnley,Wolverhampton Wanderers,1,1
1712085300,West Ham United,Tottenham Hotspur,1,1
1712169000,Arsenal,Luton Town,2,0
1712169000,Brentford,Brighton & Hove Albion,0,0
1712171700,Manchester City,Aston Villa,4,1
1712255400,Liverpool,Sheffield United,3,1
1712258100,Chelsea,Manchester United,4,3
1712403000,Crystal Palace,Manchester City,2,4
1712412000,Aston Villa,Brentford,3,3
